"filter_key","dc_blinkit_warehouse_id","wh_name","dc_blinkit_internal_city","place_of_supply","variant_id","item_id","frontend_inv_qty","backend_inv_qty","drr_7_be","drr_7_fe_be","doi_be","doi_fe_be"
chennai-10252336,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"700334","10252336",0,32,0.0,0.0,0.0,0.0
chennai-10252336,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"700334","10252336",0,32,0.0,0.0,0.0,0.0
chennai-10199527,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"624551","10199527",186,78,9.692923898531374,10.652126499454745,8.04710743801653,27.236363636363638
chennai-10199527,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"624551","10199527",186,78,9.692923898531374,10.652126499454745,8.04710743801653,27.236363636363638
chennai-10216722,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"650002","10216722",197,2,17.11926605504587,16.659195781147,0.11682743837084675,11.624330117899252
chennai-10216722,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"650002","10216722",197,2,17.11926605504587,16.659195781147,0.11682743837084675,11.624330117899252
chennai-10260300,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"711067","10260300",111,1,2.7660785429709738,5.111876075731497,0.3615226337448559,40.49053497942386
chennai-10260300,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"711067","10260300",111,1,2.7660785429709738,5.111876075731497,0.3615226337448559,40.49053497942386
chennai-10249574,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"696713","10249574",0,50,1.3445378151260503,0.4770186335403726,37.1875,37.1875
chennai-10249574,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"696713","10249574",0,50,1.3445378151260503,0.4770186335403726,37.1875,37.1875
chennai-10249577,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"696716","10249577",80,7,1.7695852534562213,3.379823967501693,3.9557291666666665,49.1640625
chennai-10249577,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"696716","10249577",80,7,1.7695852534562213,3.379823967501693,3.9557291666666665,49.1640625
chennai-10176797,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"581442","10176797",500,385,51.94274134885171,57.076018730696426,7.412007722393942,17.03799177745101
chennai-10176797,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"581442","10176797",500,385,51.94274134885171,57.076018730696426,7.412007722393942,17.03799177745101
chennai-10258333,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"708261","10258333",107,16,1.8852459016393441,1.4866920152091256,8.486956521739131,65.24347826086957
chennai-10258333,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,chennai,"708261","10258333",107,16,1.8852459016393441,1.4866920152091256,8.486956521739131,65.24347826086957
